Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0001,Merrill Lynch Global Technology ETF,MLT1,Merrill Lynch,Mutual Fund,1987-07-10,Balanced,Technology,Middle East,64865.88,Medium,52.81,53.97,38.89,65.18,42.18,68.13,Medium,36.47,2.51,9.6,4.42,15.55,16.79,16.32,10.68,15.23,20.6,26.69,0.75,1.19,0.39,0.53,0.0,590,4.28,80.93,-4.62,-22.24,37.75,1.25,31.0,2024-12-13,Medium,Q2_Mid,Small,0.3447169486159473,0.7155206172810881,-0.37080366866514075,1925.9807
FND_0002,iShares Strategic Healthcare Fund,IH2,iShares,Mutual Fund,2006-07-15,Income,Healthcare,Latin America,659324.7,Low,24.4,18.6,20.64,35.89,10.79,53.01,Low,55.58,1.55,6.97,-1.06,2.56,2.76,2.68,-5.83,2.51,12.39,3.48,0.21,1.0,0.88,0.02,35.22,135,7.62,91.35,-3.96,-15.55,60.48,17.49,47.24,2024-12-13,Medium,Q3_Mid,Large,-0.6234299774674987,-0.6660467081840425,0.042616730716543816,1356.1519999999998
FND_0003,Goldman Sachs Global Fund,GSM3,Goldman Sachs,Mutual Fund,1987-06-24,Equity,Metals & Mining,Japan,48831.52,High,66.25,74.19,60.69,61.23,40.96,66.96,Medium,33.26,-1.81,2.68,13.02,14.85,16.04,15.6,13.62,14.56,21.33,13.06,0.7,1.26,0.61,0.01,57.49,77,466.27,93.32,-4.8,-23.36,27.0,0.0,28.27,2024-12-13,High,Q2_Mid,Small,0.2925458286576399,0.8383639970118483,-0.5458181683542084,2203.475
FND_0004,BlackRock Global Fund,BC4,BlackRock,Mutual Fund,2007-02-22,Value,Consumer Discretionary,India,101010.64,Medium,40.99,34.84,32.89,57.3,24.71,72.52,Medium,36.94,1.73,7.03,1.73,-16.85,-18.2,-17.69,6.84,-16.51,16.52,24.99,-1.02,1.03,0.66,0.57,66.95,65,42.95,98.86,-9.75,-22.07,47.2,1.65,31.4,2024-12-13,Medium,Q2_Mid,Mid,-2.070060603739992,0.028943919607795174,-2.099004523347787,1514.1706
FND_0005,Goldman Sachs International Chemicals,GSC5,Goldman Sachs,Mutual Fund,2011-11-11,Sector Equity,Chemicals,Japan,60260.54,Medium,52.02,43.14,46.17,69.7,36.32,63.81,Medium,39.73,-1.01,-6.41,14.85,9.89,10.68,10.39,9.85,9.69,14.47,13.5,0.68,0.54,0.28,0.01,103.59,254,53.03,98.86,-6.05,-21.09,38.39,4.02,33.77,2024-12-13,Medium,Q2_Mid,Small,-0.07712382133265194,-0.31602721525256,0.23890339391990806,2066.7545999999998
FND_0006,Vanguard Bank of America Index Fund,BOT6,Bank of America,ETF,1991-07-20,Sector Equity,Technology,Africa,1670.08,Medium,49.34,49.78,46.54,51.56,23.93,73.66,Medium,33.64,0.66,9.31,5.68,11.3,12.2,11.86,12.17,11.07,15.52,24.41,0.73,1.5,0.29,0.97,83.97,468,350.78,95.23,1.66,-23.23,40.52,0.0,28.59,2024-12-13,Medium,Q2_Mid,Small,0.027963720297652823,-0.1393346827631099,0.1672984030607627,1659.7976
FND_0007,American Century Core Financials Fund,ACF7,American Century,ETF,1991-02-13,Sector Equity,Financials,Asia-Pacific,92273.27,Low,11.01,9.1,14.35,10.22,0.0,26.32,Low,78.27,0.19,0.18,2.34,11.83,12.77,12.42,10.13,11.59,11.91,13.12,0.99,1.21,0.66,0.4,45.43,580,31.25,98.49,-0.63,-7.6,71.19,36.78,66.53,2024-12-13,Low,Q4_High,Mid,0.06746471112322833,-0.746820437322077,0.8142851484453053,861.7526999999999
FND_0008,PIMCO Energy Dividend Fund,PE8,PIMCO,Mutual Fund,2018-10-20,Equity,Energy,Japan,485958.03,Low,14.06,13.02,20.5,9.01,8.82,26.44,Low,77.27,0.64,-5.71,7.05,18.34,19.81,19.26,9.84,17.98,16.65,20.94,1.1,1.32,0.33,0.84,0.0,502,325.18,93.27,1.06,-7.96,68.75,35.93,65.68,2024-12-13,Low,Q4_High,Large,0.5526561267354865,0.05082013791601266,0.5018359888194738,1086.4162
FND_0009,Guggenheim US Manufacturing Fund,GM9,Guggenheim,ETF,2005-01-20,Growth,Manufacturing,Middle East,166891.12,Medium,62.41,54.36,54.8,80.75,34.12,67.32,Medium,34.15,4.63,2.98,-5.0,26.8,28.94,28.14,24.8,26.26,34.37,35.19,0.78,1.25,0.79,0.77,29.26,56,81.26,91.54,-2.36,-23.05,30.07,0.0,29.03,2024-12-13,Medium,Q2_Mid,Mid,1.1831813765173151,3.03271697192845,-1.8495355954111348,2131.3014999999996
FND_0010,Invesco Active Energy Fund,IE10,Invesco,ETF,1985-03-10,Balanced,Energy,India,122789.08,Low,7.91,13.17,5.73,3.05,12.62,29.05,Low,77.29,2.59,-1.86,-3.14,12.27,13.25,12.88,2.49,12.02,28.71,6.53,0.43,0.67,0.16,0.01,0.0,595,11.43,93.92,0.07,-7.95,73.67,35.95,65.7,2024-12-13,Low,Q4_High,Mid,0.1002579865255929,2.080260082509128,-1.9800020959835352,611.3639000000001
