Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0060,iShares PIMCO Financials ETF,PF60,PIMCO,Mutual Fund,1991-08-30,Sector Equity,Financials,Japan,56112.97,Low,11.12,20.14,10.21,0.0,15.09,1.65,Low,95.51,-0.29,7.19,0.4,35.95,38.83,37.75,13.52,35.23,26.65,19.4,1.35,0.87,0.59,0.79,47.81,282,92.42,97.24,1.13,-1.57,71.1,51.43,81.18,2024-12-13,Low,Q4_High,Small,1.8651324445437611,1.7336061616250633,0.13152628291869783,1062.0712
FND_0239,Vanguard Core Real Estate Fund,VR39,Vanguard,Mutual Fund,1984-08-26,Sector Equity,Real Estate,Emerging Markets,31022.76,Low,8.06,8.46,8.65,6.95,0.0,8.82,Low,91.41,-2.18,4.48,0.36,26.08,28.17,27.39,22.26,25.56,21.01,23.78,1.24,0.3,0.75,0.67,21.07,538,116.04,83.1,-1.1,-3.01,73.55,47.95,77.7,2024-12-13,Low,Q4_High,Small,1.1295196531316274,0.7845148442531592,0.3450048088784682,736.7646
FND_0295,JPMorgan Global Fund,JU95,JPMorgan,Mutual Fund,1990-06-15,Growth,Utilities,China,10053.09,Low,13.66,17.82,14.77,6.99,17.64,8.27,Low,90.11,-2.34,0.33,15.59,21.18,22.87,22.24,9.21,20.75,19.32,28.49,1.1,0.54,0.75,0.31,9.69,103,58.81,91.7,3.87,-3.46,69.08,46.85,76.6,2024-12-13,Low,Q4_High,Small,0.7643218134234762,0.5001240062463295,0.2641978071771467,1230.9026
FND_0294,Franklin Templeton Financials Dividend Fund,FTF94,Franklin Templeton,ETF,1990-10-12,Equity,Financials,ASEAN,305971.88,Low,7.07,0.0,16.85,6.72,6.57,11.87,Low,89.57,2.9,3.26,5.02,19.42,20.97,20.39,14.57,19.03,20.04,27.51,0.97,0.77,0.68,0.21,24.92,582,42.94,85.0,0.03,-3.65,74.34,46.38,76.13,2024-12-13,Low,Q4_High,Mid,0.6331487118140179,0.6212845999533809,0.011864111860636961,633.2599
FND_0269,iShares TIAA Energy ETF,TE69,TIAA,ETF,2001-01-20,Income,Energy,Asia-Pacific,1174153.3,Low,9.47,12.54,14.84,0.0,11.44,11.32,Low,89.24,3.01,11.38,-0.62,1.08,1.16,1.13,-7.64,1.06,12.95,35.16,0.08,0.75,0.33,0.99,30.25,207,13.7,97.9,7.4,-3.77,72.43,46.1,75.85,2024-12-13,Low,Q4_High,Large,-0.7337346310936342,-0.571810690856336,-0.16192394023729828,845.1028
FND_0291,Schwab International Energy,SE91,Schwab,Mutual Fund,2000-04-21,Income,Energy,Asia-Pacific,238313.26,Low,15.97,21.13,25.06,0.0,5.88,8.81,Low,89.04,-0.7,-1.03,13.51,7.71,8.33,8.1,7.92,7.56,21.01,30.81,0.37,1.14,0.66,0.85,81.71,223,28.14,89.11,4.56,-3.83,67.22,45.94,75.69,2024-12-13,Low,Q4_High,Mid,-0.23959959491709482,0.7845148442531592,-1.024114439170254,1421.9688
FND_0107,WisdomTree Global Energy ETF,WE7,WisdomTree,ETF,2016-09-07,Balanced,Energy,Middle East,271764.43,Low,11.47,7.17,11.69,16.98,5.96,11.01,Low,88.85,1.39,1.77,7.54,12.53,13.53,13.15,7.95,12.28,29.8,17.25,0.42,0.95,0.23,0.96,37.8,220,5.01,98.66,-1.06,-3.9,70.82,45.77,75.52,2024-12-13,Low,Q4_High,Mid,0.1196358310815356,2.2636837590934147,-2.144047928011879,1019.1095
FND_0267,Vanguard Strategic Financials Fund,VF67,Vanguard,Mutual Fund,2019-05-03,Balanced,Financials,Middle East,67930.15,Low,8.87,0.0,7.55,22.03,5.42,12.51,Low,88.58,2.5,3.13,-2.11,19.73,21.31,20.71,5.29,19.33,13.64,16.46,1.45,0.52,0.54,0.66,49.04,90,31.19,91.47,-2.45,-4.0,72.9,45.54,75.29,2024-12-13,Low,Q4_High,Mid,0.6562530649384111,-0.45569845522041125,1.1119515201588224,785.7045999999999
FND_0090,Nuveen Emerging Markets Real Estate,NR90,Nuveen,ETF,1999-01-24,Income,Real Estate,Japan,45275.3,Low,7.23,17.02,1.42,0.0,4.76,13.46,Low,88.41,-3.43,8.68,-0.34,-4.55,-4.92,-4.78,3.46,-4.46,17.6,4.31,-0.26,0.87,0.79,0.76,26.88,333,19.59,81.87,4.08,-4.06,74.21,45.4,75.15,2024-12-13,Low,Q4_High,Small,-1.1533394959011631,0.21068481016837295,-1.364024306069536,639.2043
FND_0059,Vanguard Bank of America Index Fund,BOF59,Bank of America,ETF,1988-12-11,Income,Financials,Emerging Markets,30237.79,Low,10.29,5.58,16.24,10.6,17.82,14.01,Low,87.11,-3.0,5.02,2.29,12.55,13.56,13.18,26.9,12.3,18.17,16.96,0.69,1.2,0.8,0.2,24.03,478,28.91,88.94,-1.62,-4.51,71.77,44.29,74.04,2024-12-13,Low,Q4_High,Small,0.12112643450891591,0.3066036135197889,-0.18547717901087296,896.3618999999999
FND_0105,Morgan Stanley Active Financials Fund,MSF5,Morgan Stanley,ETF,1981-08-03,Sector Equity,Financials,Africa,840960.82,Low,4.99,8.27,0.0,5.59,0.0,17.07,Low,86.55,1.8,10.51,23.04,17.84,19.27,18.74,3.5,17.49,20.26,9.34,0.88,0.87,0.41,0.81,48.51,33,9.47,88.5,1.15,-4.71,76.01,43.82,73.57,2024-12-13,Low,Q4_High,Large,0.5153910410509812,0.6583058924749804,-0.14291485142399918,431.8845
FND_0281,JPMorgan Global Fund,JE81,JPMorgan,ETF,2017-08-20,Income,Energy,Japan,258740.39,Low,11.07,10.44,16.19,6.8,22.63,14.63,Low,86.44,-0.56,-2.15,6.61,0.74,0.8,0.78,12.33,0.73,15.43,23.36,0.05,1.27,0.53,0.59,36.14,581,70.09,94.15,2.71,-4.75,71.14,43.72,73.47,2024-12-13,Low,Q4_High,Mid,-0.7590748893590977,-0.15447975697649133,-0.6045951323826064,956.8908
FND_0273,iShares UBS Energy ETF,UE73,UBS,Mutual Fund,1984-06-19,Growth,Energy,Global,128325.92,Low,4.91,9.44,0.0,3.78,18.48,17.85,Low,86.03,2.31,5.91,-1.69,6.91,7.46,7.25,22.52,6.77,1.4,5.29,4.94,0.68,0.16,0.89,40.15,499,27.37,85.43,5.07,-4.89,76.07,43.38,73.13,2024-12-13,Low,Q4_High,Mid,-0.2992237320123032,-2.515428548240289,2.216204816227986,422.4073
FND_0240,Bank of America Global Energy ETF,BOE40,Bank of America,Mutual Fund,2015-08-22,Value,Energy,Australia,151425.07,Low,9.19,3.7,4.42,21.27,13.54,16.45,Low,85.73,-1.69,0.84,12.37,7.6,8.21,7.98,25.26,7.45,16.03,13.97,0.47,1.23,0.3,0.83,0.0,170,32.57,80.98,3.71,-4.99,72.65,43.12,72.87,2024-12-13,Low,Q4_High,Mid,-0.24779791376768598,-0.05351259555394804,-0.19428531821373793,787.8587
FND_0201,Goldman Sachs Strategic Real Estate Fund,GSR1,Goldman Sachs,ETF,1980-06-11,Income,Real Estate,Latin America,1118533.59,Low,5.92,12.84,2.6,0.0,21.18,18.0,Low,85.63,2.1,12.28,8.09,1.71,1.84,1.79,14.17,1.67,21.29,28.12,0.08,1.26,0.49,0.09,7.42,329,43.88,82.09,2.94,-5.03,75.27,43.03,72.78,2024-12-13,Low,Q4_High,Large,-0.6867806231311577,0.8316328529170123,-1.51841347604817,506.9296
FND_0074,SPDR Strategic Utilities Fund,SU74,SPDR,Mutual Fund,2014-10-31,Equity,Utilities,North America,20884.63,Low,8.69,7.28,11.0,8.28,6.06,16.83,Low,85.61,-0.78,3.33,15.78,30.74,33.2,32.27,10.57,30.12,29.04,12.6,1.06,1.19,0.62,0.37,1.89,127,174.56,97.24,0.99,-5.04,73.05,43.02,72.77,2024-12-13,Low,Q4_High,Small,1.476830251711216,2.1357920212915262,-0.6589617695803103,743.9508999999999
FND_0242,UBS Financials Index Fund,UF42,UBS,Mutual Fund,2009-03-03,Sector Equity,Financials,Australia,11185.81,Low,12.55,7.77,15.61,15.86,6.35,15.42,Low,85.44,0.99,-1.02,12.29,15.55,16.79,16.33,0.51,15.24,17.22,8.87,0.9,0.97,0.66,0.68,72.35,300,27.63,95.88,-0.61,-5.1,69.96,42.87,72.62,2024-12-13,Low,Q4_High,Small,0.3447169486159473,0.1467389412674286,0.19797800734851873,1072.272
FND_0028,Franklin Templeton US Financials Fund,FTF28,Franklin Templeton,Mutual Fund,1996-11-18,Sector Equity,Financials,India,7945.79,Low,10.44,8.22,7.22,16.63,18.3,16.44,Low,85.36,1.45,14.9,4.58,4.52,4.88,4.75,10.47,4.43,21.78,12.26,0.21,1.49,0.47,0.55,3.54,579,43.23,84.55,6.61,-5.12,71.65,42.8,72.55,2024-12-13,Low,Q4_High,Small,-0.47735084158423824,0.9140893680787561,-1.3914402096629943,891.1583999999999
FND_0200,Principal Active Real Estate Fund,PR0,Principal,Mutual Fund,2009-12-24,Income,Real Estate,Australia,311353.79,Low,6.1,0.61,19.51,0.0,19.33,19.18,Low,84.75,-2.08,2.26,12.48,8.2,8.86,8.61,-4.98,8.04,13.29,4.53,0.62,0.98,0.34,0.38,38.63,493,28.86,89.28,1.12,-5.34,75.12,42.28,72.03,2024-12-13,Low,Q4_High,Large,-0.20307981094627972,-0.5145959660502283,0.3115161551039486,516.975
FND_0012,Fidelity Active Utilities Fund,FU12,Fidelity,Mutual Fund,2014-12-23,Sector Equity,Utilities,Europe,3703224.6,Low,10.51,7.91,17.68,6.79,7.0,17.67,Low,84.48,1.68,13.1,0.49,5.3,5.73,5.57,29.24,5.2,8.15,41.91,0.65,0.7,0.85,0.21,0.0,147,53.0,94.29,5.9,-5.43,71.59,42.06,71.81,2024-12-13,Low,Q4_High,Large,-0.41921730791641004,-1.37954798223668,0.96033067432027,887.8848
