Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0087,Principal Financials Growth Fund,PF87,Principal,Mutual Fund,2015-12-03,Income,Financials,US,273892.0,Low,13.7,16.97,13.66,9.37,5.24,31.18,Low,74.07,1.28,-2.02,6.68,51.25,55.35,53.82,8.86,50.23,9.82,23.54,5.22,1.15,0.18,0.6,63.16,354,346.74,91.6,-7.53,-9.08,69.04,33.21,62.96,2024-12-13,Low,Q4_High,Mid,3.005444066489621,-1.0985227162772686,4.103966782766889,1014.7589999999999
FND_0205,Vanguard Emerging Markets Real Estate,VR5,Vanguard,Mutual Fund,1998-01-01,Equity,Real Estate,Africa,305072.37,Low,5.88,6.14,5.51,5.92,19.42,31.0,Low,76.54,0.33,0.58,12.95,40.27,43.49,42.28,20.95,39.46,20.94,10.92,1.92,1.28,0.56,0.31,0.0,436,25.12,90.51,5.15,-8.21,75.29,35.31,65.06,2024-12-13,Low,Q4_High,Mid,2.1871027848578866,0.7727353420871959,1.4143674427706907,450.0552
FND_0169,Nuveen International Financials,NF69,Nuveen,ETF,1990-11-12,Value,Financials,India,15587.55,Low,9.37,6.19,12.91,10.06,0.0,21.28,Low,82.29,-0.07,4.04,1.41,37.04,40.01,38.89,24.74,36.3,11.63,18.27,3.18,1.11,0.58,0.71,44.76,141,213.21,82.63,7.31,-6.2,72.5,40.2,69.95,2024-12-13,Low,Q4_High,Small,1.9463703313359824,-0.7939384459859303,2.740308777321913,771.0572999999999
FND_0060,iShares PIMCO Financials ETF,PF60,PIMCO,Mutual Fund,1991-08-30,Sector Equity,Financials,Japan,56112.97,Low,11.12,20.14,10.21,0.0,15.09,1.65,Low,95.51,-0.29,7.19,0.4,35.95,38.83,37.75,13.52,35.23,26.65,19.4,1.35,0.87,0.59,0.79,47.81,282,92.42,97.24,1.13,-1.57,71.1,51.43,81.18,2024-12-13,Low,Q4_High,Small,1.8651324445437611,1.7336061616250633,0.13152628291869783,1062.0712
FND_0227,Franklin Templeton Active Financials Fund,FTF27,Franklin Templeton,ETF,1994-03-21,Growth,Financials,ASEAN,60850.13,Low,9.06,0.0,11.69,18.5,4.99,30.81,Low,75.72,2.49,12.65,12.26,35.86,38.73,37.65,19.7,35.14,17.83,16.13,2.01,1.49,0.42,0.29,35.96,432,54.3,86.55,4.09,-8.5,72.75,34.61,64.36,2024-12-13,Low,Q4_High,Small,1.85842472912055,0.2493888887136806,1.6090358404068694,686.0232
FND_0027,Merrill Lynch Healthcare Index Fund,MLH27,Merrill Lynch,ETF,1986-01-13,Growth,Healthcare,Global,600758.27,Low,16.57,13.7,16.94,20.03,17.19,50.15,Low,59.93,0.92,-1.91,0.28,33.15,35.8,34.81,25.1,32.49,14.69,13.71,2.26,0.23,0.22,0.01,58.59,477,619.56,91.46,2.01,-14.03,66.75,21.19,50.94,2024-12-13,Low,Q3_Mid,Large,1.6564479647105315,-0.2790059227309611,1.9354538874414926,993.0401
FND_0041,JPMorgan Global Financials ETF,JF41,JPMorgan,Mutual Fund,1999-03-11,Growth,Financials,Latin America,34472.13,Low,14.52,9.73,18.87,16.56,12.06,28.53,Low,75.67,1.12,9.73,7.5,32.97,35.61,34.62,12.67,32.31,19.89,23.67,1.66,1.05,0.61,0.58,20.17,553,100.62,92.64,6.69,-8.52,68.38,34.57,64.32,2024-12-13,Low,Q4_High,Small,1.6430325338641096,0.5960428095977454,1.0469897242663642,1098.7284
FND_0074,SPDR Strategic Utilities Fund,SU74,SPDR,Mutual Fund,2014-10-31,Equity,Utilities,North America,20884.63,Low,8.69,7.28,11.0,8.28,6.06,16.83,Low,85.61,-0.78,3.33,15.78,30.74,33.2,32.27,10.57,30.12,29.04,12.6,1.06,1.19,0.62,0.37,1.89,127,174.56,97.24,0.99,-5.04,73.05,43.02,72.77,2024-12-13,Low,Q4_High,Small,1.476830251711216,2.1357920212915262,-0.6589617695803103,743.9508999999999
FND_0049,Fidelity Energy Index Fund,FE49,Fidelity,Mutual Fund,2005-12-07,Sector Equity,Energy,Africa,2424650.72,Low,19.27,22.34,34.44,0.0,12.2,14.4,Low,84.14,1.64,5.64,6.81,30.48,32.92,32.0,2.58,29.87,14.23,21.83,2.14,0.97,0.46,0.18,11.0,39,6.47,96.58,-4.65,-5.55,64.59,41.77,71.52,2024-12-13,Low,Q4_High,Large,1.4574524071552735,-0.35641407982157725,1.8138664869768508,1621.3778
FND_0038,iShares US Real Estate Fund,IR38,iShares,Mutual Fund,2008-07-18,Value,Real Estate,US,24610.71,Low,15.36,19.27,23.39,2.1,1.44,29.63,Low,74.65,3.46,2.04,5.65,28.33,30.59,29.74,16.75,27.76,13.48,24.82,2.1,0.53,0.86,0.18,29.13,373,105.96,82.49,-1.92,-8.87,67.71,33.71,63.46,2024-12-13,Low,Q4_High,Small,1.2972125387119011,-0.48262303159975606,1.7798355703116573,1146.624
